iter	Passed	Remaining
0	18	36079
1	37	37063
2	59	39402
3	76	37954
4	88	35478
5	100	33473
6	121	34534
7	136	33878
8	157	34861
9	171	34215
10	188	34077
11	212	35276
12	273	41774
13	296	42066
14	320	42365
15	341	42284
16	357	41657
17	369	40661
18	376	39294
19	396	39299
20	417	39340
21	436	39258
22	444	38201
23	456	37600
24	477	37734
25	499	37905
26	517	37845
27	540	38039
28	555	37765
29	576	37836
30	598	38011
31	606	37312
32	627	37398
33	644	37266
34	660	37086
35	682	37207
36	702	37271
37	723	37371
38	745	37483
39	766	37560
40	787	37606
41	807	37661
42	829	37739
43	852	37890
44	871	37883
45	884	37553
46	903	37554
47	928	37741
48	940	37466
49	953	37171
50	975	37260
51	999	37429
52	1030	37870
53	1057	38093
54	1078	38146
55	1099	38179
56	1121	38213
57	1146	38400
58	1168	38455
59	1186	38376
60	1208	38423
61	1230	38464
62	1250	38454
63	1272	38478
64	1293	38512
65	1302	38153
66	1311	37830
67	1332	37850
68	1347	37716
69	1371	37816
70	1386	37672
71	1400	37502
72	1426	37646
73	1449	37734
74	1472	37788
75	1494	37825
76	1513	37796
77	1536	37849
78	1559	37925
79	1583	38012
80	1607	38072
81	1628	38084
82	1651	38146
83	1673	38180
84	1693	38164
85	1710	38079
86	1732	38098
87	1754	38113
88	1782	38263
89	1804	38285
90	1825	38290
91	1847	38324
92	1871	38378
93	1894	38420
94	1914	38384
95	1937	38423
96	1962	38501
97	1987	38568
98	2009	38580
99	2022	38426
100	2040	38374
101	2063	38392
102	2085	38409
103	2109	38455
104	2131	38473
105	2152	38460
106	2175	38486
107	2189	38362
108	2212	38390
109	2234	38400
110	2256	38403
111	2277	38393
112	2300	38424
113	2323	38446
114	2347	38471
115	2368	38466
116	2389	38461
117	2411	38454
118	2432	38454
119	2454	38448
120	2475	38441
121	2496	38432
122	2519	38448
123	2540	38432
124	2561	38417
125	2584	38432
126	2606	38436
127	2628	38434
128	2651	38451
129	2673	38455
130	2694	38436
131	2717	38457
132	2740	38475
133	2763	38484
134	2786	38499
135	2808	38492
136	2831	38505
137	2854	38509
138	2875	38498
139	2897	38499
140	2922	38532
141	2945	38546
142	2969	38556
143	2993	38578
144	3017	38602
145	3040	38607
146	3062	38602
147	3084	38597
148	3106	38592
149	3130	38613
150	3155	38640
151	3179	38661
152	3202	38655
153	3223	38640
154	3243	38610
155	3265	38603
156	3289	38611
