code_sport,sport,2024_or,2020_or,2016_or,2024_argent,2020_argent,2016_argent,2024_bronze,2020_bronze,2016_bronze,total_medailles_2016,total_medailles_2020,total_medailles_2024
ATH,Athlétisme,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,6.0,1.0,1.0
AVI,Aviron,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
BAD,Badminton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAK,Basket-ball,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
BOX,Boxe,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,6.0,0.0,3.0
CAK,Canoë-kayak,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0
CYC,Cyclisme,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,9.0
ESD,Escalade,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
ESC,Escrime,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,7.0
FOO,Football,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GOL,Golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYM,Gymnastique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAL,Haltérophilie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAN,Handball,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0
HOC,Hockey sur gazon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUD,Judo,2.0,2.0,2.0,2.0,3.0,2.0,6.0,3.0,1.0,5.0,8.0,10.0
KAR,Karaté,,1.0,,,0.0,,,0.0,,0.0,1.0,0.0
LUT,Lutte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT,Natation,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,7.0
PEN,Pentathlon moderne,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RUG,Rugby à 7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SKT,Skateboard,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
SUR,Surf,1.0,0.0,,0.0,0.0,,1.0,0.0,,0.0,0.0,2.0
TAE,Taekwondo,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
TEN,Tennis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDT,Tennis de table,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
TIR,Tir,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
TAR,Tir à l'arc,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
TRI,Triathlon,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
VOI,Voile,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0
VOL,Volley-ball,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EQU,Équitation,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0
