departement,annee,population,code_dep
2025-DEP-01,2021,663202.0,01
2025-DEP-01,2020,657856.0,01
2025-DEP-01,2023,679344.0,01
2025-DEP-01,2016,638425.0,01
2025-DEP-01,2017,643350.0,01
2025-DEP-01,2022,671289.0,01
2025-DEP-01,2019,652432.0,01
2025-DEP-01,2018,647634.0,01
2025-DEP-02,2016,536136.0,02
2025-DEP-02,2017,534490.0,02
2025-DEP-02,2023,523342.0,02
2025-DEP-02,2021,527468.0,02
2025-DEP-02,2020,529374.0,02
2025-DEP-02,2018,533316.0,02
2025-DEP-02,2019,531345.0,02
2025-DEP-02,2022,525558.0,02
2025-DEP-03,2021,334872.0,03
2025-DEP-03,2023,333298.0,03
2025-DEP-03,2022,334715.0,03
2025-DEP-03,2016,339384.0,03
2025-DEP-03,2020,335628.0,03
2025-DEP-03,2019,335975.0,03
2025-DEP-03,2017,337988.0,03
2025-DEP-03,2018,337171.0,03
2025-DEP-04,2022,167179.0,04
2025-DEP-04,2021,166077.0,04
2025-DEP-04,2019,164308.0,04
2025-DEP-04,2018,164068.0,04
2025-DEP-04,2020,165451.0,04
2025-DEP-04,2016,162565.0,04
2025-DEP-04,2023,168054.0,04
2025-DEP-04,2017,163915.0,04
2025-DEP-05,2021,140976.0,05
2025-DEP-05,2022,141677.0,05
2025-DEP-05,2016,141107.0,05
2025-DEP-05,2020,140605.0,05
2025-DEP-05,2019,141220.0,05
2025-DEP-05,2018,140698.0,05
2025-DEP-05,2017,141284.0,05
2025-DEP-05,2023,143467.0,05
2025-DEP-06,2023,1128418.0,06
2025-DEP-06,2018,1086219.0,06
2025-DEP-06,2022,1114579.0,06
2025-DEP-06,2016,1083704.0,06
2025-DEP-06,2020,1097410.0,06
2025-DEP-06,2019,1094283.0,06
2025-DEP-06,2021,1103941.0,06
2025-DEP-06,2017,1083310.0,06
2025-DEP-07,2018,326606.0,07
2025-DEP-07,2023,334231.0,07
2025-DEP-07,2016,325157.0,07
2025-DEP-07,2019,328278.0,07
2025-DEP-07,2022,333229.0,07
2025-DEP-07,2020,329325.0,07
2025-DEP-07,2021,331415.0,07
2025-DEP-07,2017,325712.0,07
2025-DEP-08,2022,267204.0,08
2025-DEP-08,2016,275371.0,08
2025-DEP-08,2018,271845.0,08
2025-DEP-08,2020,269701.0,08
2025-DEP-08,2019,270582.0,08
2025-DEP-08,2021,268859.0,08
2025-DEP-08,2023,265893.0,08
2025-DEP-08,2017,273579.0,08
2025-DEP-09,2023,155722.0,09
2025-DEP-09,2022,155339.0,09
2025-DEP-09,2017,153153.0,09
2025-DEP-09,2018,153066.0,09
2025-DEP-09,2020,153954.0,09
2025-DEP-09,2019,153287.0,09
2025-DEP-09,2016,153067.0,09
2025-DEP-09,2021,154596.0,09
2025-DEP-10,2016,308910.0,10
2025-DEP-10,2018,310020.0,10
2025-DEP-10,2020,311435.0,10
2025-DEP-10,2023,310447.0,10
2025-DEP-10,2019,310242.0,10
2025-DEP-10,2021,311329.0,10
2025-DEP-10,2022,311076.0,10
2025-DEP-10,2017,310020.0,10
2025-DEP-11,2018,372806.0,11
2025-DEP-11,2017,370260.0,11
2025-DEP-11,2021,376028.0,11
2025-DEP-11,2020,375217.0,11
2025-DEP-11,2016,368025.0,11
2025-DEP-11,2019,374070.0,11
2025-DEP-11,2022,377773.0,11
2025-DEP-11,2023,379648.0,11
2025-DEP-12,2023,279609.0,12
