Place,,Sport,1896-2024,2024,2020,2016,2012,2008,2004,2000,1996,1992,1988,1984,1980,1976,1972,1968,1964,1960,1956,1952,1948,1936,1932,1928,1924,1920,1912,1908,1904,1900,1896
1,,Escrime,38,2,1,1,0,0,2,1,3,3,0,3,1,2,2,1,3,0,2,1,0,1,0,0,0,3,0,1,0,5,0
2,,Judo,34,6,3,1,5,2,0,2,3,4,1,2,1,1,3,0,0,,,,,,,,,,,,,,
3,,Athlétisme,30,0,0,3,1,2,2,0,1,0,1,2,1,0,1,1,1,1,0,0,3,0,1,1,3,1,0,1,0,2,1
4,,Cyclisme,28,3,2,1,0,1,1,1,1,1,0,1,0,0,0,1,2,0,0,1,2,2,1,0,2,1,0,2,0,1,1
5,,Natation,22,2,0,1,1,3,3,0,0,3,2,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0
6,,Canoë-kayak,19,0,0,1,0,1,1,1,2,3,1,3,0,0,1,0,0,0,0,1,4,0,,,,,,,,,
6,,Voile,19,1,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,8,
8,,Aviron,13,0,0,1,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,
9,,Équitation,12,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,,,2,
10,,Boxe,11,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,,
11,,Lutte,10,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0
11,,Tir,10,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,2,,3,0
13,,Gymnastique,9,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0
14,,Tennis,8,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,1,2,2,0,0,1,0
14,,Tir à l'arc,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,0,1,0,4,0
16,,Taekwondo,6,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
17,,Haltérophilie,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,,,0,0,0
17,,Tennis de table,3,2,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
17,,Water-polo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
20,,Triathlon,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
20,,Pentathlon moderne,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
20,,Croquet,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
23,,Handball,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,0,,,,,,,,,
23,,Natation synchronisée,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
23,,Surf,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Basket-ball,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,Cricket,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
27,,Football,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,,Karaté,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Motonautisme,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
27,,Pelote basque,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
27,,Plongeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
27,,Rugby à 7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Rugby à XV,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
27,,Tir à la corde,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
27,,Volley-ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,Badminton,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
27,,Breaking,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Escalade,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Golf,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
27,,Hockey sur gazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
27,,Skateboard,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,296,22,11,14,13,20,13,11,15,16,6,16,3,4,7,5,6,3,6,6,13,6,4,5,10,13,3,9,0,34,2,,
1,,Sports non collectifs,291,22,10,14,13,20,13,11,15,15,6,16,3,4,7,5,6,3,6,6,13,6,4,4,10,13,3,9,0,32,2
2,,Sports collectifs SCO,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
