,Code_sport,Sport,2024_or,2020_or,2024_argent,2020_argent,2024_bronze,2020_bronze
0,ATH,Escrime,1.0,2.0,4.0,2.0,2.0,1.0
1,AVI,Cyclisme,3.0,0.0,3.0,0.0,3.0,2.0
2,BAD,Judo,2.0,2.0,2.0,3.0,6.0,3.0
3,BAK,Équitation,0.0,0.0,1.0,0.0,1.0,1.0
4,BOX,Athlétisme,0.0,0.0,1.0,1.0,0.0,0.0
5,DIV,Voile,0.0,0.0,1.0,2.0,1.0,1.0
6,CAK,Natation,4.0,0.0,1.0,1.0,2.0,0.0
7,CYC,Tir,0.0,1.0,1.0,0.0,0.0,0.0
8,ESD,Canoë-kayak,1.0,0.0,2.0,0.0,0.0,0.0
9,ESC,Haltérophilie,0.0,0.0,0.0,0.0,0.0,0.0
10,FOO,Aviron,0.0,1.0,0.0,1.0,0.0,0.0
11,GOL,Boxe,0.0,0.0,2.0,0.0,1.0,0.0
12,GYM,Tir à l'arc,0.0,0.0,1.0,0.0,1.0,0.0
13,HAL,Tennis,0.0,0.0,0.0,0.0,0.0,0.0
14,HAN,Handball,0.0,2.0,1.0,0.0,0.0,0.0
15,HOC,Lutte,0.0,0.0,0.0,0.0,0.0,0.0
17,JUD,Gymnastique,0.0,0.0,0.0,0.0,0.0,0.0
18,KAR,Volley-ball,1.0,1.0,0.0,0.0,0.0,0.0
19,LUT,Triathlon,1.0,0.0,0.0,0.0,1.0,1.0
20,NAT,Surf,1.0,0.0,0.0,0.0,1.0,0.0
21,DIV,Rugby à 7,1.0,0.0,0.0,1.0,0.0,0.0
22,PEN,Football,0.0,0.0,1.0,0.0,0.0,0.0
23,DIV,Water-polo,0.0,0.0,0.0,0.0,0.0,0.0
24,DIV,Karaté,,1.0,,0.0,,0.0
25,SKT,Taekwondo,1.0,0.0,0.0,0.0,1.0,1.0
28,SUR,Basket-ball,0.0,0.0,3.0,1.0,0.0,1.0
30,TAE,Natation synchronisée,0.0,0.0,0.0,0.0,0.0,0.0
32,TEN,Pentathlon moderne,0.0,0.0,1.0,0.0,0.0,0.0
33,TDT,Plongeon,0.0,0.0,0.0,0.0,0.0,0.0
34,TIR,Tennis de table,0.0,0.0,0.0,0.0,2.0,0.0
36,TAR,Badminton,0.0,0.0,0.0,0.0,0.0,0.0
37,TRI,Breaking,0.0,,1.0,,0.0,
38,VOI,Escalade,0.0,0.0,0.0,0.0,0.0,0.0
39,VOL,Golf,0.0,0.0,0.0,0.0,0.0,0.0
40,DIV,Hockey sur gazon,0.0,0.0,0.0,0.0,0.0,0.0
41,EQU,Skateboard,0.0,0.0,0.0,0.0,0.0,0.0
