,Code_sport,Sport,2024_or,2020_or,2016_or,2024_argent,2020_argent,2016_argent,2024_bronze,2020_bronze,2016_bronze,total_medailles_2016,total_medailles_2020,total_medailles_2024
0,ATH,Athlétisme,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,6.0,1.0,1.0
1,AVI,Aviron,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
2,BAD,Badminton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,BAK,Basket-ball,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
4,BOX,Boxe,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,6.0,0.0,3.0
5,DIV,Breaking,0.0,,,1.0,,,0.0,,,0.0,0.0,1.0
6,CAK,Canoë-kayak,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0
9,CYC,Cyclisme,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,9.0
10,ESD,Escalade,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
11,ESC,Escrime,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,7.0
12,FOO,Football,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,GOL,Golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,GYM,Gymnastique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HAL,Haltérophilie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,HAN,Handball,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0
17,HOC,Hockey sur gazon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,JUD,Judo,2.0,2.0,2.0,2.0,3.0,2.0,6.0,3.0,1.0,5.0,8.0,10.0
19,KAR,Karaté,,1.0,,,0.0,,,0.0,,0.0,1.0,0.0
20,LUT,Lutte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NAT,Natation,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,7.0
23,DIV,Natation synchronisée,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,PEN,Pentathlon moderne,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
26,DIV,Plongeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,RUG,Rugby à 7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29,SKT,Skateboard,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
30,SUR,Surf,1.0,0.0,,0.0,0.0,,1.0,0.0,,0.0,0.0,2.0
31,TAE,Taekwondo,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
32,TEN,Tennis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,TDT,Tennis de table,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
34,TIR,Tir,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
35,TAR,Tir à l'arc,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
37,TRI,Triathlon,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
38,VOI,Voile,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0
39,VOL,Volley-ball,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,DIV,Water-polo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,EQU,Équitation,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0
