,departement,frequence_mesure,annee,type_mesure,population,code_dep
0,2024-DEP-18,A,2022,PCAP,6758.0,18
1,2024-DEP-43,A,2022,PCAP,6760.0,43
2,2024-DEP-40,A,2022,PTOT,440615.0,40
3,2024-DEP-35,A,2022,PMUN,1109232.0,35
4,2024-DEP-05,A,2022,PCAP,4316.0,05
5,2024-DEP-11,A,2022,PMUN,377773.0,11
6,2024-DEP-64,A,2022,PCAP,18733.0,64
7,2024-DEP-36,A,2022,PCAP,5591.0,36
8,2024-DEP-30,A,2022,PMUN,764010.0,30
9,2024-DEP-66,A,2022,PTOT,501001.0,66
10,2024-DEP-33,A,2022,PTOT,1701107.0,33
11,2024-DEP-79,A,2022,PCAP,10322.0,79
12,2024-DEP-41,A,2022,PMUN,328953.0,41
13,2024-DEP-53,A,2022,PCAP,9087.0,53
14,2024-DEP-76,A,2022,PTOT,1280768.0,76
15,2024-DEP-47,A,2022,PMUN,332226.0,47
16,2024-DEP-77,A,2022,PTOT,1468459.0,77
17,2024-DEP-60,A,2022,PMUN,830725.0,60
18,2024-DEP-74,A,2022,PTOT,869929.0,74
19,2024-DEP-15,A,2022,PTOT,149242.0,15
20,2024-DEP-81,A,2022,PMUN,396168.0,81
21,2024-DEP-58,A,2022,PMUN,202299.0,58
22,2024-DEP-26,A,2022,PMUN,521432.0,26
23,2024-DEP-32,A,2022,PTOT,198988.0,32
24,2024-DEP-46,A,2022,PTOT,181023.0,46
25,2024-DEP-65,A,2022,PMUN,231453.0,65
26,2024-DEP-06,A,2022,PTOT,1128455.0,06
27,2024-DEP-74,A,2022,PCAP,20346.0,74
28,2024-DEP-94,A,2022,PCAP,8819.0,94
29,2024-DEP-03,A,2022,PCAP,8623.0,03
30,2024-DEP-82,A,2022,PTOT,270664.0,82
31,2024-DEP-60,A,2022,PCAP,17285.0,60
32,2024-DEP-33,A,2022,PMUN,1674980.0,33
33,2024-DEP-57,A,2022,PTOT,1068619.0,57
34,2024-DEP-08,A,2022,PTOT,273109.0,08
35,2024-DEP-12,A,2022,PMUN,279736.0,12
36,2024-DEP-58,A,2022,PTOT,207295.0,58
37,2024-DEP-80,A,2022,PMUN,565540.0,80
38,2024-DEP-39,A,2022,PMUN,258405.0,39
39,2024-DEP-79,A,2022,PTOT,385737.0,79
40,2024-DEP-43,A,2022,PMUN,228161.0,43
41,2024-DEP-89,A,2022,PTOT,342095.0,89
42,2024-DEP-69,A,2022,PCAP,25178.0,69
43,2024-DEP-23,A,2022,PCAP,3345.0,23
44,2024-DEP-72,A,2022,PTOT,579000.0,72
45,2024-DEP-49,A,2022,PMUN,828151.0,49
46,2024-DEP-53,A,2022,PMUN,305437.0,53
47,2024-DEP-973,A,2022,PCAP,2094.0,73
48,2024-DEP-16,A,2022,PTOT,360259.0,16
49,2024-DEP-52,A,2022,PTOT,174637.0,52
50,2024-DEP-93,A,2022,PTOT,1688205.0,93
51,2024-DEP-67,A,2022,PMUN,1156963.0,67
52,2024-DEP-14,A,2022,PCAP,13567.0,14
53,2024-DEP-59,A,2022,PTOT,2646988.0,59
54,2024-DEP-18,A,2022,PMUN,299496.0,18
55,2024-DEP-72,A,2022,PCAP,12871.0,72
56,2024-DEP-22,A,2022,PCAP,17584.0,22
57,2024-DEP-04,A,2022,PCAP,4442.0,04
58,2024-DEP-05,A,2022,PTOT,145993.0,05
59,2024-DEP-10,A,2022,PTOT,317888.0,10
60,2024-DEP-61,A,2022,PTOT,283434.0,61
61,2024-DEP-08,A,2022,PMUN,267204.0,08
62,2024-DEP-2A,A,2022,PMUN,166045.0,2A
63,2024-DEP-93,A,2022,PMUN,1681725.0,93
64,2024-DEP-42,A,2022,PCAP,13814.0,42
65,2024-DEP-69,A,2022,PMUN,1907982.0,69
66,2024-DEP-22,A,2022,PTOT,627182.0,22
67,2024-DEP-88,A,2022,PTOT,369069.0,88
68,2024-DEP-86,A,2022,PCAP,10178.0,86
69,2024-DEP-70,A,2022,PCAP,6060.0,70
70,2024-DEP-23,A,2022,PMUN,115529.0,23
71,2024-DEP-60,A,2022,PTOT,848010.0,60
72,2024-DEP-35,A,2022,PTOT,1133863.0,35
73,2024-DEP-56,A,2022,PMUN,776103.0,56
74,2024-DEP-62,A,2022,PTOT,1481487.0,62
75,2024-DEP-21,A,2022,PTOT,549018.0,21
76,2024-DEP-91,A,2022,PTOT,1338107.0,91
77,2024-DEP-41,A,2022,PCAP,8463.0,41
78,2024-DEP-71,A,2022,PMUN,549136.0,71
79,2024-DEP-07,A,2022,PTOT,341709.0,07
80,2024-DEP-76,A,2022,PCAP,20563.0,76
81,2024-DEP-23,A,2022,PTOT,118874.0,23
82,2024-DEP-38,A,2022,PCAP,24773.0,38
83,2024-DEP-28,A,2022,PTOT,442835.0,28
84,2024-DEP-53,A,2022,PTOT,314524.0,53
85,2024-DEP-67,A,2022,PTOT,1172296.0,67
86,2024-DEP-42,A,2022,PMUN,772041.0,42
